epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        48, 11789.625,    0.005,        0.0023497,       4.6585e-06,        0.0023544,      0.00124,      0.00184,      0.00104,      0.00119,      0.00148,      0.00147,      0.00129,      0.00165,      0.00158,      0.00207,      0.00206,      0.00184,      0.00393,     6.54e-05,       0.00096988,       9.2551e-08,       0.00096997,     0.000728,      0.00118,     0.000651,     0.000843,     0.000818,     0.000787,     0.000775,      0.00114,      0.00115,      0.00123,      0.00126,      0.00119,     0.000556,     9.26e-06
        49, 12035.314,    0.005,        0.0019419,       4.4266e-06,        0.0019463,      0.00111,      0.00167,     0.000941,      0.00109,      0.00133,      0.00119,      0.00114,      0.00154,      0.00143,      0.00185,      0.00175,      0.00164,      0.00367,     6.12e-05,       0.00095282,       9.0146e-08,       0.00095291,      0.00072,      0.00117,     0.000647,     0.000826,     0.000807,     0.000776,     0.000764,      0.00113,      0.00113,      0.00122,      0.00126,      0.00118,     0.000531,     8.84e-06
        50, 12281.944,    0.005,        0.0022973,       4.7141e-06,         0.002302,       0.0012,      0.00182,     0.000954,       0.0012,      0.00152,      0.00134,      0.00125,      0.00156,      0.00157,      0.00213,      0.00195,       0.0018,      0.00369,     6.15e-05,        0.0009397,       8.1835e-08,       0.00093978,     0.000707,      0.00116,     0.000627,     0.000828,     0.000802,     0.000765,     0.000755,      0.00112,      0.00113,      0.00121,      0.00125,      0.00118,     0.000516,     8.59e-06
        51, 12528.465,    0.005,        0.0021571,       7.7594e-06,        0.0021649,      0.00116,      0.00176,     0.000952,      0.00118,      0.00141,      0.00141,      0.00124,      0.00156,      0.00157,      0.00199,      0.00198,      0.00178,      0.00504,      8.4e-05,       0.00092675,       9.0788e-08,       0.00092684,     0.000702,      0.00116,     0.000625,     0.000809,     0.000794,     0.000758,     0.000747,      0.00111,      0.00111,       0.0012,      0.00124,      0.00117,     0.000548,     9.13e-06
        52, 12776.239,    0.005,         0.002123,       7.7315e-06,        0.0021307,      0.00116,      0.00175,     0.000977,      0.00122,       0.0014,      0.00133,      0.00123,      0.00159,      0.00159,      0.00195,       0.0019,      0.00176,       0.0051,     8.49e-05,       0.00091442,       7.7664e-08,        0.0009145,     0.000698,      0.00115,     0.000622,       0.0008,     0.000789,     0.000755,     0.000742,      0.00111,      0.00109,      0.00119,      0.00124,      0.00116,     0.000497,     8.28e-06
        53, 13022.445,    0.005,        0.0017154,       3.8647e-06,        0.0017192,      0.00102,      0.00157,     0.000877,      0.00103,       0.0012,      0.00122,      0.00108,      0.00144,      0.00136,      0.00171,      0.00179,      0.00158,      0.00346,     5.77e-05,       0.00089059,       9.5322e-08,       0.00089068,     0.000682,      0.00113,     0.000609,     0.000786,     0.000768,      0.00074,     0.000726,       0.0011,      0.00107,      0.00117,      0.00123,      0.00114,      0.00056,     9.33e-06
        54, 13267.948,    0.005,        0.0019717,       5.1183e-06,        0.0019768,      0.00113,      0.00168,     0.000975,      0.00106,      0.00132,      0.00133,      0.00117,      0.00156,      0.00141,      0.00183,      0.00193,      0.00168,      0.00423,     7.06e-05,       0.00087743,        8.779e-08,       0.00087751,     0.000675,      0.00112,     0.000603,     0.000776,     0.000758,     0.000739,     0.000719,      0.00109,      0.00106,      0.00115,      0.00122,      0.00113,     0.000523,     8.71e-06
        55, 13513.152,    0.005,        0.0020966,       5.0918e-06,        0.0021017,      0.00117,      0.00174,     0.000989,      0.00116,      0.00138,       0.0014,      0.00123,      0.00158,      0.00152,      0.00191,        0.002,      0.00175,      0.00397,     6.62e-05,       0.00086649,       9.1487e-08,       0.00086659,     0.000669,      0.00112,     0.000598,     0.000768,     0.000751,     0.000731,     0.000712,      0.00109,      0.00105,      0.00115,      0.00121,      0.00112,     0.000541,     9.02e-06
        56, 13759.116,    0.005,        0.0022359,       4.2389e-06,        0.0022401,       0.0012,      0.00179,      0.00096,      0.00115,      0.00152,      0.00133,      0.00124,      0.00157,      0.00152,      0.00208,      0.00191,      0.00177,      0.00364,     6.07e-05,       0.00086216,        6.474e-08,       0.00086222,     0.000666,      0.00111,     0.000595,     0.000763,     0.000748,     0.000729,     0.000709,      0.00109,      0.00105,      0.00114,      0.00121,      0.00112,     0.000451,     7.52e-06
        57, 14004.824,    0.005,        0.0021301,       5.1678e-06,        0.0021353,      0.00115,      0.00175,     0.000967,      0.00118,      0.00138,      0.00138,      0.00123,      0.00159,      0.00156,      0.00193,      0.00201,      0.00177,      0.00394,     6.57e-05,       0.00085755,       8.1651e-08,       0.00085763,     0.000665,      0.00111,     0.000595,     0.000759,     0.000747,     0.000727,     0.000707,      0.00108,      0.00104,      0.00114,      0.00121,      0.00112,     0.000502,     8.37e-06
        58, 14249.076,    0.005,        0.0022273,       5.0731e-06,        0.0022324,      0.00117,      0.00179,     0.000941,      0.00115,      0.00148,      0.00135,      0.00123,      0.00153,      0.00151,       0.0021,      0.00194,      0.00177,      0.00385,     6.41e-05,        0.0008507,       8.3944e-08,       0.00085079,     0.000661,      0.00111,     0.000588,     0.000768,     0.000745,     0.000722,     0.000706,      0.00108,      0.00104,      0.00114,      0.00121,      0.00112,     0.000524,     8.74e-06
        59, 14494.221,    0.005,        0.0022152,       8.3916e-06,        0.0022236,       0.0012,      0.00179,     0.000976,      0.00112,       0.0015,      0.00147,      0.00127,      0.00156,      0.00149,      0.00205,      0.00205,      0.00179,      0.00522,      8.7e-05,         0.000849,       6.7862e-08,       0.00084907,     0.000661,      0.00111,      0.00059,     0.000761,     0.000743,     0.000729,     0.000706,      0.00108,      0.00104,      0.00113,      0.00121,      0.00112,     0.000459,     7.65e-06
        60, 14738.071,    0.005,        0.0020834,       3.4023e-06,        0.0020868,      0.00114,      0.00173,     0.000932,      0.00118,       0.0014,       0.0014,      0.00123,      0.00151,      0.00155,      0.00198,      0.00201,      0.00176,      0.00343,     5.72e-05,        0.0008407,       6.5715e-08,       0.00084077,     0.000653,       0.0011,     0.000579,     0.000739,     0.000739,     0.000726,     0.000696,      0.00107,      0.00101,      0.00113,      0.00121,      0.00111,     0.000454,     7.57e-06
        61, 14985.695,    0.005,        0.0016195,       3.9234e-06,        0.0016234,     0.000981,      0.00152,     0.000822,     0.000933,      0.00118,      0.00117,      0.00103,       0.0014,      0.00123,      0.00168,      0.00172,      0.00151,      0.00343,     5.71e-05,       0.00081623,       7.0465e-08,        0.0008163,     0.000633,      0.00108,     0.000562,     0.000714,     0.000715,     0.000708,     0.000675,      0.00106,     0.000989,      0.00111,       0.0012,      0.00109,     0.000471,     7.84e-06
        62, 15230.513,    0.005,        0.0019723,       4.5853e-06,        0.0019769,      0.00112,      0.00169,     0.000933,      0.00102,      0.00134,      0.00141,      0.00117,       0.0015,      0.00136,       0.0019,      0.00197,      0.00168,      0.00384,      6.4e-05,       0.00080987,       7.2973e-08,       0.00080995,     0.000632,      0.00108,     0.000562,     0.000719,     0.000711,     0.000715,     0.000677,      0.00105,     0.000994,       0.0011,       0.0012,      0.00109,     0.000475,     7.91e-06
        63, 15476.120,    0.005,        0.0021768,       6.8139e-06,        0.0021836,      0.00113,      0.00177,     0.000879,       0.0011,      0.00147,       0.0013,      0.00119,      0.00151,      0.00144,      0.00209,      0.00191,      0.00174,      0.00443,     7.39e-05,       0.00080491,        6.869e-08,       0.00080498,     0.000631,      0.00108,     0.000563,     0.000709,     0.000711,     0.000701,     0.000671,      0.00105,     0.000986,       0.0011,      0.00119,      0.00108,     0.000465,     7.74e-06
        64, 15720.758,    0.005,        0.0019852,       2.8234e-06,         0.001988,       0.0011,      0.00169,     0.000944,      0.00108,      0.00128,      0.00132,      0.00116,      0.00157,      0.00144,      0.00182,      0.00197,       0.0017,      0.00307,     5.12e-05,       0.00080387,       5.8973e-08,       0.00080393,     0.000631,      0.00108,     0.000562,      0.00071,     0.000712,     0.000706,     0.000672,      0.00105,     0.000985,       0.0011,      0.00119,      0.00108,     0.000435,     7.24e-06
        65, 15966.715,    0.005,        0.0018346,       3.8025e-06,        0.0018384,      0.00106,      0.00163,     0.000897,      0.00105,      0.00127,      0.00129,      0.00113,      0.00148,      0.00138,      0.00179,      0.00191,      0.00164,      0.00357,     5.95e-05,       0.00079024,       5.8153e-08,        0.0007903,      0.00062,      0.00107,     0.000551,     0.000701,       0.0007,     0.000703,     0.000663,      0.00104,      0.00097,      0.00108,      0.00119,      0.00107,     0.000426,      7.1e-06
        66, 16213.183,    0.005,        0.0017372,       3.8195e-06,         0.001741,      0.00102,      0.00158,     0.000855,     0.000986,      0.00121,      0.00126,      0.00108,      0.00146,      0.00131,      0.00171,      0.00189,      0.00159,       0.0033,     5.49e-05,       0.00077716,       5.6497e-08,       0.00077722,     0.000612,      0.00106,     0.000545,     0.000688,     0.000688,     0.000688,     0.000652,      0.00104,     0.000956,      0.00107,      0.00118,      0.00106,     0.000418,     6.96e-06
        67, 16462.076,    0.005,         0.001774,       4.3201e-06,        0.0017784,      0.00103,       0.0016,     0.000853,     0.000982,      0.00127,      0.00119,      0.00107,      0.00145,      0.00129,      0.00179,      0.00173,      0.00157,      0.00368,     6.13e-05,       0.00076771,       5.6758e-08,       0.00076777,     0.000607,      0.00105,     0.000544,     0.000679,     0.000679,     0.000682,     0.000646,      0.00103,     0.000943,      0.00106,      0.00117,      0.00105,      0.00041,     6.84e-06
        68, 16712.219,    0.005,         0.002024,       5.9423e-06,          0.00203,       0.0011,       0.0017,     0.000898,       0.0011,      0.00136,      0.00123,      0.00115,      0.00151,      0.00144,      0.00195,      0.00184,      0.00168,      0.00397,     6.62e-05,       0.00076333,       6.1865e-08,       0.00076339,     0.000605,      0.00105,     0.000541,     0.000668,     0.000679,     0.000674,     0.000641,      0.00103,     0.000929,      0.00106,      0.00117,      0.00105,     0.000439,     7.32e-06
        69, 16957.557,    0.005,        0.0018423,        4.871e-06,        0.0018472,      0.00107,      0.00163,     0.000852,      0.00113,      0.00135,      0.00127,      0.00115,      0.00143,       0.0015,      0.00186,      0.00184,      0.00166,      0.00401,     6.68e-05,       0.00075839,       6.0504e-08,       0.00075845,     0.000603,      0.00105,     0.000541,     0.000657,     0.000675,     0.000678,     0.000638,      0.00103,     0.000916,      0.00106,      0.00117,      0.00104,     0.000435,     7.24e-06
        70, 17202.911,    0.005,         0.001524,        3.574e-06,        0.0015275,     0.000938,      0.00148,     0.000782,     0.000954,      0.00114,      0.00105,     0.000982,      0.00138,      0.00125,      0.00162,       0.0016,      0.00146,      0.00335,     5.58e-05,        0.0007423,       5.8072e-08,       0.00074236,     0.000592,      0.00103,      0.00053,     0.000644,     0.000665,     0.000671,     0.000627,      0.00102,     0.000906,      0.00104,      0.00116,      0.00103,     0.000421,     7.02e-06
        71, 17447.475,    0.005,        0.0019682,       8.0096e-06,        0.0019762,      0.00108,      0.00168,     0.000839,      0.00112,      0.00138,      0.00125,      0.00115,      0.00145,      0.00149,      0.00197,      0.00183,      0.00168,      0.00457,     7.62e-05,       0.00073817,       6.7284e-08,       0.00073824,     0.000591,      0.00103,     0.000529,     0.000646,     0.000663,      0.00067,     0.000627,      0.00102,      0.00091,      0.00104,      0.00116,      0.00103,     0.000446,     7.43e-06
        72, 17693.267,    0.005,        0.0016446,        4.807e-06,        0.0016494,      0.00099,      0.00154,     0.000832,      0.00093,      0.00117,      0.00128,      0.00105,      0.00142,      0.00123,      0.00166,      0.00184,      0.00154,      0.00393,     6.55e-05,        0.0007292,       5.6621e-08,       0.00072926,     0.000584,      0.00103,     0.000523,     0.000643,     0.000653,     0.000669,     0.000622,      0.00101,     0.000897,      0.00103,      0.00116,      0.00102,      0.00042,        7e-06
        73, 17939.970,    0.005,         0.001561,       3.1768e-06,        0.0015642,     0.000949,       0.0015,     0.000793,     0.000925,      0.00112,      0.00127,      0.00103,      0.00139,      0.00123,       0.0016,      0.00186,      0.00152,      0.00306,     5.11e-05,       0.00071667,       6.4319e-08,       0.00071673,     0.000573,      0.00102,     0.000513,     0.000629,     0.000641,     0.000661,     0.000611,      0.00101,     0.000879,      0.00102,      0.00115,      0.00101,     0.000447,     7.45e-06
        74, 18184.097,    0.005,        0.0017997,       4.3099e-06,         0.001804,      0.00104,      0.00161,     0.000869,     0.000992,      0.00126,      0.00125,      0.00109,      0.00147,      0.00138,      0.00177,      0.00184,      0.00161,      0.00387,     6.44e-05,       0.00071326,       6.1028e-08,       0.00071333,     0.000572,      0.00101,     0.000514,      0.00062,     0.000638,     0.000653,     0.000607,        0.001,     0.000873,      0.00101,      0.00114,      0.00101,      0.00043,     7.17e-06
        75, 18429.612,    0.005,        0.0017131,       2.4565e-06,        0.0017155,        0.001,      0.00157,     0.000834,     0.000969,      0.00121,      0.00118,      0.00105,      0.00145,       0.0013,      0.00172,      0.00175,      0.00155,      0.00286,     4.76e-05,       0.00071017,       6.7681e-08,       0.00071023,      0.00057,      0.00101,     0.000514,     0.000614,     0.000633,     0.000649,     0.000602,        0.001,     0.000869,      0.00101,      0.00114,      0.00101,     0.000453,     7.55e-06
        76, 18675.240,    0.005,        0.0020136,       6.7576e-06,        0.0020203,      0.00112,       0.0017,     0.000896,      0.00108,      0.00141,      0.00128,      0.00117,      0.00148,      0.00141,      0.00198,      0.00185,      0.00168,      0.00437,     7.28e-05,       0.00070898,       8.7476e-08,       0.00070907,     0.000571,      0.00101,     0.000511,      0.00061,     0.000639,     0.000657,     0.000604,        0.001,     0.000863,      0.00101,      0.00114,        0.001,     0.000538,     8.97e-06
        77, 18919.640,    0.005,        0.0017952,       6.8322e-06,         0.001802,      0.00105,      0.00161,     0.000868,      0.00101,      0.00128,       0.0013,      0.00112,      0.00147,      0.00137,      0.00176,      0.00187,      0.00162,      0.00463,     7.72e-05,        0.0007005,       5.2816e-08,       0.00070055,     0.000566,        0.001,     0.000507,     0.000606,     0.000631,     0.000658,     0.000601,     0.000997,     0.000854,        0.001,      0.00114,     0.000999,     0.000406,     6.77e-06
        78, 19166.399,    0.005,        0.0017156,       4.9838e-06,        0.0017206,      0.00102,      0.00157,      0.00084,      0.00099,      0.00126,      0.00119,      0.00107,      0.00142,       0.0013,      0.00176,       0.0017,      0.00155,      0.00404,     6.73e-05,       0.00069763,       5.0791e-08,       0.00069769,     0.000568,        0.001,      0.00051,     0.000606,     0.000631,     0.000657,     0.000601,     0.000996,      0.00085,     0.000998,      0.00114,     0.000996,     0.000401,     6.69e-06
        79, 19413.378,    0.005,        0.0015734,       3.0465e-06,        0.0015765,     0.000949,       0.0015,     0.000794,     0.000885,      0.00115,      0.00109,     0.000981,       0.0014,      0.00119,      0.00165,      0.00165,      0.00147,       0.0031,     5.17e-05,       0.00068702,       6.6765e-08,       0.00068708,     0.000557,     0.000995,       0.0005,     0.000597,     0.000621,      0.00064,      0.00059,     0.000992,     0.000842,     0.000987,      0.00113,     0.000987,     0.000457,     7.61e-06
        79,  245.030,    0.005,        0.0015734,       3.0423e-06,        0.0015765,     0.000949,       0.0015,     0.000794,     0.000885,      0.00115,      0.00109,     0.000981,       0.0014,      0.00119,      0.00165,      0.00165,      0.00147,       0.0031,     5.17e-05,       0.00068702,       6.6887e-08,       0.00068708,     0.000557,     0.000995,       0.0005,     0.000597,     0.000621,      0.00064,      0.00059,     0.000992,     0.000842,     0.000987,      0.00113,     0.000987,     0.000458,     7.63e-06
        80,  493.433,    0.005,        0.0015269,       2.9105e-06,        0.0015298,     0.000925,      0.00148,     0.000749,     0.000957,      0.00114,      0.00113,     0.000993,      0.00135,      0.00128,      0.00163,       0.0017,      0.00149,      0.00315,     5.24e-05,       0.00067754,        7.585e-08,       0.00067761,      0.00055,     0.000988,     0.000492,     0.000587,     0.000614,     0.000635,     0.000582,     0.000985,     0.000834,     0.000979,      0.00113,     0.000981,     0.000481,     8.01e-06
        81,  738.264,    0.005,        0.0018605,       5.6561e-06,        0.0018662,      0.00107,      0.00164,     0.000847,      0.00107,      0.00135,      0.00131,      0.00114,      0.00143,      0.00144,      0.00188,      0.00187,      0.00165,      0.00419,     6.98e-05,       0.00068405,       5.1353e-08,        0.0006841,     0.000557,     0.000993,     0.000501,     0.000583,     0.000622,     0.000639,     0.000586,     0.000987,     0.000827,     0.000988,      0.00113,     0.000983,     0.000403,     6.71e-06
        82,  982.621,    0.005,        0.0023438,       8.7938e-06,        0.0023526,      0.00119,      0.00184,      0.00099,      0.00131,      0.00143,       0.0014,      0.00128,      0.00161,      0.00179,      0.00209,      0.00208,      0.00189,      0.00503,     8.39e-05,       0.00069162,       5.4299e-08,       0.00069167,     0.000561,     0.000998,     0.000501,     0.000597,     0.000627,     0.000653,     0.000595,     0.000991,     0.000845,     0.000994,      0.00114,     0.000992,     0.000409,     6.81e-06
        83, 1226.442,    0.005,        0.0013451,       3.2885e-06,        0.0013484,     0.000857,      0.00139,     0.000713,     0.000864,      0.00103,      0.00103,     0.000911,       0.0013,      0.00115,      0.00149,      0.00158,      0.00138,      0.00331,     5.51e-05,       0.00067292,       5.0054e-08,       0.00067297,     0.000542,     0.000985,     0.000485,     0.000573,     0.000607,     0.000628,     0.000573,     0.000982,     0.000816,     0.000976,      0.00112,     0.000974,     0.000392,     6.53e-06
